x,y,p,i,d,pid_output,error,time,speed,stability,distance
-1e-05,-1e-05,1.0,2.6106834411621093e-07,287.28109589041094,288.2810961514793,0.5,1754747262.9231422,0,0,0.0
-1e-05,-3e-05,0.99996,0.00010197351808547974,287.28109589041094,288.281157863929,0.49998,1754747262.9434855,0,0,1.9999999999999998e-05
-1e-05,-3e-05,0.99996,0.00020375033826828002,0.0,1.0001637503382683,0.49998,1754747262.9638417,0,0,1.9999999999999998e-05
-2e-05,-3e-05,0.99995527864045,0.00030762943573217795,0.0,1.0002629080761822,0.499977639320225,1754747262.9846184,0.0002502911497401195,1,2.2360679774997894e-05
-3e-05,-4e-05,0.9999278889744907,0.0004088987686937441,-3.408636953653493e-06,1.0003333791062308,0.49996394448724535,1754747263.0048738,0.000705895704095647,2,3.6055512754639895e-05
-3e-05,-3e-05,0.9999434314575051,0.0005100600094033364,-3.408636953653493e-06,1.0004500828299547,0.49997171572875254,1754747263.0251071,0.0004912743628185908,3,2.82842712474619e-05
0.0002,8e-05,0.9995430536136481,0.0006115060377534021,-3.408636953653493e-06,1.000151151014448,0.4997715268068241,1754747263.0454056,0.012991008784617605,4,0.00022847319317591724
0.00088,0.00032,0.9981015796039865,0.0007127843505031352,-2.0283305464821717e-05,0.9987940806490249,0.49905078980199324,1754747263.0656998,0.03542173430822892,5,0.000949210198006743
0.00088,0.00032,0.9981015796039865,0.0008139258328256335,-2.0283305464821717e-05,0.9988952221313473,0.49905078980199324,1754747263.0859666,0.0,6,0.000949210198006743
0.00235,0.00087,0.994962540322742,0.0009164453297109288,-0.0002958678366887622,0.9955831178157641,0.497481270161371,1754747263.1065743,0.07714184148344257,0,0.0025187298386289865
0.00517,0.00181,0.9890191439313686,0.0010195443993780565,-0.0010654335416975915,0.988973254789049,0.4945095719656843,1754747263.127423,0.14199513244049908,0,0.005490428034315722
0.00972,0.00408,0.9788906655718377,0.0011217311706438735,-0.002284853071119487,0.977727543671362,0.48944533278591884,1754747263.1483011,0.2685683741741912,0,0.010554667214081171
0.02623,0.00831,0.9449451182909272,0.0012238224545263804,-0.004276080882703002,0.9418928598627505,0.4724725591454636,1754747263.169909,0.0,1,0.027527440854536407
0.05086,0.0154,0.8936943087130327,0.001319281435860715,-0.00727687605727379,0.8877367140916196,0.44684715435651634,1754747263.1912718,1.2823804923507032,0,0.053152845643483666
0.06558,0.0195,0.8631396595064882,0.0014091647215693681,-0.022005979174450185,0.8425428450536074,0.4315698297532441,1754747263.2120988,0.7518192732527792,0,0.06843017024675592
