timestamp,current_yaw,target_yaw,angle_error,p_term,i_term,d_term,pid_output
1754744144.465612,5.52,-84.48,-90.0,-450.0,-0.0,-149.81511996723404,-599.8151199672341
1754744144.4859064,5.52,-84.48,-90.0,-450.0,-0.0,0.0,-450.0
1754744144.5062175,5.52,-84.48,-90.0,-450.0,-0.0,0.0,-450.0
1754744144.5264707,5.52,-84.48,-90.0,-450.0,-0.0,0.0,-450.0
1754744144.5467546,5.52,-84.48,-90.0,-450.0,-0.0,0.0,-450.0
1754744144.5669808,5.52,-84.48,-90.0,-450.0,-0.0,0.0,-450.0
1754744144.5872471,3.64,-84.48,-88.12,-440.6,-0.0,46.39553018981149,-394.2044698101885
1754744144.6076605,3.64,-84.48,-88.12,-440.6,-0.0,0.0,-440.6
1754744144.6279802,-1.7,-84.48,-82.78,-413.9,-0.0,131.37337149828736,-282.5266285017126
1754744144.6482687,-1.7,-84.48,-82.78,-413.9,-0.0,0.0,-413.9
1754744144.668544,-1.7,-84.48,-82.78,-413.9,-0.0,0.0,-413.9
1754744144.6888735,-5.41,-84.48,-79.07000000000001,-395.35,-0.0,91.23184165474528,-304.11815834525476
1754744144.7095473,-5.41,-84.48,-79.07000000000001,-395.35,-0.0,0.0,-395.35
1754744144.7298298,-9.5,-84.48,-74.98,-374.90000000000003,-0.0,100.79736388742003,-274.10263611258
1754744144.750057,-9.5,-84.48,-74.98,-374.90000000000003,-0.0,0.0,-374.90000000000003
1754744144.7705328,-9.5,-84.48,-74.98,-374.90000000000003,-0.0,0.0,-374.90000000000003
1754744144.7908056,-14.11,-84.48,-70.37,-351.85,-0.0,113.73028950557011,-238.1197104944299
1754744144.8110924,-18.72,-84.48,-65.76,-328.8,-0.0,113.58598037948656,-215.21401962051345
1754744144.8313012,-18.72,-84.48,-65.76,-328.8,-0.0,0.0,-328.8
1754744144.8514912,-18.72,-84.48,-65.76,-328.8,-0.0,0.0,-328.8
1754744144.871694,-23.33,-84.48,-61.150000000000006,-305.75,-0.0,114.08997887631432,-191.66002112368568
1754744144.891893,-23.33,-84.48,-61.150000000000006,-305.75,-0.0,0.0,-305.75
1754744144.9120882,-23.33,-84.48,-61.150000000000006,-305.75,-0.0,0.0,-305.75
1754744144.9322858,-28.13,-84.48,-56.35000000000001,-281.75000000000006,-0.0,118.82722572420136,-162.9227742757987
1754744144.9524684,-28.13,-84.48,-56.35000000000001,-281.75000000000006,-0.0,0.0,-281.75000000000006
1754744144.9726927,-32.92,-84.48,-51.56,-257.8,-0.0,118.46639636771052,-139.3336036322895
1754744144.9930634,-32.92,-84.48,-51.56,-257.8,-0.0,0.0,-257.8
1754744145.013345,-32.92,-84.48,-51.56,-257.8,-0.0,0.0,-257.8
1754744145.0336041,-37.81,-84.48,-46.67,-233.35000000000002,-0.0,120.67347532418631,-112.67652467581371
1754744145.0537927,-37.81,-84.48,-46.67,-233.35000000000002,-0.0,0.0,-233.35000000000002
1754744145.0739784,-42.69,-84.48,-41.790000000000006,-208.95000000000005,-0.0,120.89044793044782,-88.05955206955223
1754744145.0942068,-42.69,-84.48,-41.790000000000006,-208.95000000000005,-0.0,0.0,-208.95000000000005
1754744145.11453,-42.69,-84.48,-41.790000000000006,-208.95000000000005,-0.0,0.0,-208.95000000000005
1754744145.134795,-47.55,-84.48,-36.93000000000001,-184.65000000000003,-0.0,119.87672273058736,-64.77327726941267
1754744145.1549773,-47.55,-84.48,-36.93000000000001,-184.65000000000003,-0.0,0.0,-184.65000000000003
1754744145.1751761,-52.27,-84.48,-32.21,-161.05,-0.0,116.83987582478561,-44.2101241752144
1754744145.1953998,-52.27,-84.48,-32.21,-161.05,-0.0,0.0,-161.05
1754744145.2157648,-52.27,-84.48,-32.21,-161.05,-0.0,0.0,-161.05
1754744145.2361317,-56.9,-84.48,-27.580000000000005,-137.90000000000003,-0.0,113.64349387296485,-24.25650612703518
1754744145.2563875,-56.9,-84.48,-27.580000000000005,-137.90000000000003,-0.0,0.0,-137.90000000000003
1754744145.2766056,-60.59,-84.48,-23.89,-119.45,-0.0,91.25256040470278,-28.197439595297226
1754744145.296808,-60.59,-84.48,-23.89,-119.45,-0.0,0.0,-119.45
1754744145.3170106,-60.59,-84.48,-23.89,-119.45,-0.0,0.0,-119.45
1754744145.3371835,-65.23,-84.48,-19.25,-96.25,-0.0,115.00886761455638,18.75886761455638
1754744145.3573718,-65.23,-84.48,-19.25,-96.25,-0.0,0.0,-96.25
1754744145.3775547,-65.23,-84.48,-19.25,-96.25,-0.0,0.0,-96.25
1754744145.3977418,-68.55,-84.48,-15.930000000000007,-79.65000000000003,-0.0,82.24708389444073,2.5970838944407006
1754744145.4180207,-68.55,-84.48,-15.930000000000007,-79.65000000000003,-0.0,0.0,-79.65000000000003
1754744145.4382133,-68.55,-84.48,-15.930000000000007,-79.65000000000003,-0.0,0.0,-79.65000000000003
1754744145.458476,-73.13,-84.48,-11.350000000000009,-56.75000000000004,-0.0,113.00214310924959,56.252143109249545
