x,y,p,i,d,pid_output,error,time
3e-05,-2e-05,1.0,1.2636184692382813e-07,593.5335849056603,594.5335850320222,0.5,1754744131.3123038
3e-05,-2e-05,1.0,0.00010175108909606934,593.5335849056603,594.5336866567494,0.5,1754744131.3326287
3e-05,-2e-05,1.0,0.00020328640937805175,0.0,1.000203286409378,0.5,1754744131.3529358
3e-05,-2e-05,1.0,0.0003046858310699463,0.0,1.00030468583107,0.5,1754744131.3732157
3e-05,-2e-05,1.0,0.00040607452392578126,0.0,1.0004060745239258,0.5,1754744131.3934934
3e-05,-2e-05,1.0,0.0005075526237487793,0.0,1.0005075526237488,0.5,1754744131.413789
5e-05,-7e-05,0.9998922967038573,0.0006088839100925783,0.0,1.0005011806139499,0.49994614835192863,1754744131.4340575
5e-05,-7e-05,0.9998922967038573,0.0007097586740316618,0.0,1.000602055377889,0.49994614835192863,1754744131.4542346
4e-05,-5e-05,0.9999367544467966,0.0008106665315381572,0.0,1.0007474209783347,0.4999683772233983,1754744131.4744174
4e-05,-4e-05,0.99995527864045,0.0009118706921766971,0.0,1.0008671493326267,0.499977639320225,1754744131.4946592
6e-05,-3e-05,0.9999367544467966,0.0010133185336111152,0.0,1.0009500729804077,0.4999683772233983,1754744131.51495
6e-05,-3e-05,0.9999367544467966,0.0011146984300479802,0.0,1.0010514528768446,0.4999683772233983,1754744131.5352273
6e-05,-3e-05,0.9999367544467966,0.0012163787148950801,0.0,1.0011531331616916,0.4999683772233983,1754744131.5555646
6e-05,-3e-05,0.9999367544467966,0.0013178229802769954,0.0,1.0012545774270736,0.4999683772233983,1754744131.5758548
6e-05,-3e-05,0.9999367544467966,0.0014195318735441176,0.0,1.0013562863203407,0.4999683772233983,1754744131.5961978
6e-05,-3e-05,0.9999367544467966,0.001520723431215835,0.0,1.0014574778780125,0.4999683772233983,1754744131.6164374
6e-05,-3e-05,0.9999367544467966,0.0016218792283625245,0.0,1.0015586336751592,0.4999683772233983,1754744131.6366699
6e-05,-3e-05,0.9999367544467966,0.0017230540977892287,0.0,1.0016598085445858,0.4999683772233983,1754744131.6569061
6e-05,-3e-05,0.9999367544467966,0.001824031092310778,0.0,1.0017607855391075,0.4999683772233983,1754744131.6771028
0.01083,0.0019,0.9780613218265093,0.0019229634292129468,0.0,0.9799842852557222,0.48903066091325464,1754744131.697333
0.06857,0.00863,0.8618326507455543,0.0020101133809865826,0.0,0.8638427641265408,0.43091632537277713,1754744131.7175574
0.0847,0.01078,0.8292879746473611,0.0020940465050800078,-0.016219808821418772,0.8151622123310224,0.4146439873236806,1754744131.7377996
0.10231,0.01227,0.7939685218225138,0.002174680336437517,-0.02411643986078463,0.7720267622981667,0.3969842609112569,1754744131.7581112
0.12029,0.01339,0.7579892919724418,0.002251273452165471,-0.026083220850492767,0.7341573445741145,0.3789946459862209,1754744131.7783208
0.13882,0.01566,0.7206541462630955,0.0023241815621056544,-0.0267046235492968,0.6962737042759044,0.36032707313154777,1754744131.7985547
0.13882,0.01566,0.7206541462630955,0.0023970235223708712,-0.026083220850492767,0.6969679489349737,0.36032707313154777,1754744131.8187702
0.13882,0.01566,0.7206541462630955,0.002470004654679524,-0.026083220850492767,0.6970409300672823,0.36032707313154777,1754744131.8390243
0.13882,0.01566,0.7206541462630955,0.002542929946353465,0.0,0.723197076209449,0.36032707313154777,1754744131.859263
0.13882,0.01566,0.7206541462630955,0.002615835479033585,0.0,0.7232699817421291,0.36032707313154777,1754744131.879496
0.214,0.02477,0.569197469831014,0.002673228111506954,0.0,0.571870697942521,0.284598734915507,1754744131.8996623
0.23228,0.02744,0.5322645444270875,0.0027269113615119582,0.0,0.5349914557885994,0.26613227221354374,1754744131.919834
0.25015,0.02952,0.49628330978614577,0.002777079198777981,-0.02669571859821701,0.4723646703867067,0.24814165489307288,1754744131.9400513
0.26733,0.03231,0.46150387596566667,0.0028236982748411116,-0.02669571859821701,0.4376318556422908,0.23075193798283333,1754744131.9602544
0.28401,0.03426,0.42791693330426217,0.0028672489810654556,-0.02669571859821701,0.4040884636871106,0.21395846665213109,1754744131.9806092
0.31447,0.0386,0.3663943876511193,0.002904431734414688,-0.02669571859821701,0.342603100787317,0.18319719382555966,1754744132.0009058
0.31447,0.0386,0.3663943876511193,0.0029415170866832568,-0.025822332080820427,0.3435135726569822,0.18319719382555966,1754744132.0211492
0.31447,0.0386,0.3663943876511193,0.002978635197162811,-0.02475118559851351,0.3446218372497686,0.18319719382555966,1754744132.0414104
0.31447,0.0386,0.3663943876511193,0.0030157707786882242,0.0,0.3694101584298075,0.18319719382555966,1754744132.0616813
0.31447,0.0386,0.3663943876511193,0.0030528888891677786,0.0,0.3694472765402871,0.18319719382555966,1754744132.0819426
0.32794,0.0404,0.3392163909417849,0.003087186566939965,0.0,0.34230357750872487,0.16960819547089245,1754744132.1021643
0.36917,0.04565,0.25609116553168965,0.003113047518749079,0.0,0.2592042130504387,0.12804558276584482,1754744132.122361
0.37309,0.04614,0.2481901591492699,0.0031381280562960516,-0.005863965319182852,0.2454643218863831,0.12409507957463495,1754744132.1425717
0.37665,0.0466,0.2410110704364654,0.0031625210448612546,-0.005863965319182852,0.23830962616214382,0.1205055352182327,1754744132.162814
0.37979,0.04724,0.23462123050087158,0.0031863431069548117,-0.005863965319182852,0.23194360828864355,0.11731061525043579,1754744132.1831207
0.38267,0.04793,0.22873461869470635,0.003209507489009583,-0.00531988890211138,0.22662423728160455,0.11436730934735317,1754744132.203375
0.38267,0.04793,0.22873461869470635,0.0032326386049688588,-0.004719969568035814,0.2272472877316394,0.11436730934735317,1754744132.2236004
0.38267,0.04793,0.22873461869470635,0.003255787990013366,-0.00435951163202819,0.22763089505269152,0.11436730934735317,1754744132.2438416
0.38267,0.04793,0.22873461869470635,0.003278941192478667,0.0,0.23201355988718503,0.11436730934735317,1754744132.2640862
0.38267,0.04793,0.22873461869470635,0.0033020875781211213,0.0,0.23203670627282746,0.11436730934735317,1754744132.284325
0.38267,0.04793,0.22873461869470635,0.003325218148734569,0.0,0.23205983684344092,0.11436730934735317,1754744132.3045497
