timestamp,current_yaw,target_yaw,angle_error,p_term,i_term,d_term,pid_output
1754747272.396487,17.09,-72.91,-90.0,-450.0,-0.0,-149.78325736125043,-599.7832573612504
1754747272.4167914,17.09,-72.91,-90.0,-450.0,-0.0,0.0,-450.0
1754747272.4370558,17.09,-72.91,-90.0,-450.0,-0.0,0.0,-450.0
1754747272.4574358,17.09,-72.91,-90.0,-450.0,-0.0,0.0,-450.0
1754747272.4778166,17.09,-72.91,-90.0,-450.0,-0.0,0.0,-450.0
1754747272.4982889,17.09,-72.91,-90.0,-450.0,-0.0,0.0,-450.0
1754747272.5186255,17.09,-72.91,-90.0,-450.0,-0.0,0.0,-450.0
1754747272.5389166,12.27,-72.91,-85.17999999999999,-425.9,-0.0,118.78111210340793,-307.118887896592
1754747272.5592496,12.27,-72.91,-85.17999999999999,-425.9,-0.0,0.0,-425.9
1754747272.5795991,4.9,-72.91,-77.81,-389.05,-0.0,181.08975090802554,-207.96024909197448
1754747272.6001651,4.9,-72.91,-77.81,-389.05,-0.0,0.0,-389.05
1754747272.6206477,-0.55,-72.91,-72.36,-361.8,-0.0,132.56641265643674,-229.23358734356327
1754747272.640982,-0.55,-72.91,-72.36,-361.8,-0.0,0.0,-361.8
1754747272.6614141,-0.55,-72.91,-72.36,-361.8,-0.0,0.0,-361.8
1754747272.6816807,-0.55,-72.91,-72.36,-361.8,-0.0,0.0,-361.8
1754747272.701952,-0.55,-72.91,-72.36,-361.8,-0.0,0.0,-361.8
1754747272.7222755,-0.55,-72.91,-72.36,-361.8,-0.0,0.0,-361.8
1754747272.7429254,-0.55,-72.91,-72.36,-361.8,-0.0,0.0,-361.8
1754747272.7633727,-0.55,-72.91,-72.36,-361.8,-0.0,0.0,-361.8
1754747272.7839115,-13.74,-72.91,-59.169999999999995,-295.84999999999997,-0.0,321.04729433611897,25.197294336119
1754747272.804363,-20.64,-72.91,-52.269999999999996,-261.34999999999997,-0.0,169.33098670660922,-92.01901329339074
1754747272.824751,-27.72,-72.91,-45.19,-225.95,-0.0,173.03153665073995,-52.91846334926004
1754747272.8451629,-27.72,-72.91,-45.19,-225.95,-0.0,0.0,-225.95
1754747272.8654866,-27.72,-72.91,-45.19,-225.95,-0.0,0.0,-225.95
1754747272.8858767,-34.36,-72.91,-38.55,-192.75,-0.0,162.82654880087932,-29.923451199120677
1754747272.906257,-34.36,-72.91,-38.55,-192.75,-0.0,0.0,-192.75
1754747272.9266357,-34.36,-72.91,-38.55,-192.75,-0.0,0.0,-192.75
1754747272.946887,-34.36,-72.91,-38.55,-192.75,-0.0,0.0,-192.75
1754747272.9671617,-34.36,-72.91,-38.55,-192.75,-0.0,0.0,-192.75
1754747272.987458,-34.36,-72.91,-38.55,-192.75,-0.0,0.0,-192.75
1754747273.0078518,-34.36,-72.91,-38.55,-192.75,-0.0,0.0,-192.75
1754747273.028256,-34.36,-72.91,-38.55,-192.75,-0.0,0.0,-192.75
1754747273.0485528,-44.12,-72.91,-28.79,-143.95,-0.0,240.35279324557587,96.40279324557588
1754747273.068766,-47.32,-72.91,-25.589999999999996,-127.94999999999999,-0.0,79.16955383054534,-48.78044616945465
1754747273.0890691,-48.83,-72.91,-24.08,-120.39999999999999,-0.0,37.187039316078675,-83.21296068392132
1754747273.1093712,-48.83,-72.91,-24.08,-120.39999999999999,-0.0,0.0,-120.39999999999999
1754747273.1300647,-51.27,-72.91,-21.639999999999993,-108.19999999999996,-0.0,58.96850373375138,-49.23149626624858
1754747273.1503599,-51.27,-72.91,-21.639999999999993,-108.19999999999996,-0.0,0.0,-108.19999999999996
1754747273.1707296,-51.27,-72.91,-21.639999999999993,-108.19999999999996,-0.0,0.0,-108.19999999999996
1754747273.1910276,-51.27,-72.91,-21.639999999999993,-108.19999999999996,-0.0,0.0,-108.19999999999996
