x,y,p,i,d,pid_output,error,time,speed,stability,distance
-0.02135,0.00469,1.2,2.346038818359375e-07,460.3504390243902,461.55043925899406,0.6,1754843639.0222454,0,0,0.0
-0.02144,0.00474,1.1997940873971802,0.0001217028051142458,460.3504390243902,461.5503548145925,0.5998970436985901,1754843639.0424936,0,0,0.00010295630140987011
-0.02144,0.00474,1.1997940873971802,0.00024317100634665566,0.0,1.2000372584035268,0.5998970436985901,1754843639.0627418,0,0,0.00010295630140987011
-0.02144,0.00474,1.1997940873971802,0.0003647264538055327,0.0,1.2001588138509858,0.5998970436985901,1754843639.0830045,0,0,0.00010295630140987011
-0.02144,0.00474,1.1997940873971802,0.00048604733763915375,0.0,1.2002801347348193,0.5998970436985901,1754843639.103228,0,0,0.00010295630140987011
-0.02144,0.00474,1.1997940873971802,0.0006077086247825975,0.0,1.2004017960219628,0.5998970436985901,1754843639.1235085,0,0,0.00010295630140987011
-0.02144,0.00474,1.1997940873971802,0.0007288049568530161,0.0,1.2005228923540332,0.5998970436985901,1754843639.1436946,0,0,0.00010295630140987011
-0.0216,0.00482,1.1994364398878556,0.0008510462387860048,0.0,1.2002874861266417,0.5997182199439278,1754843639.1640778,0.15167553466770034,3,0.0002817800560721076
-0.01753,0.00518,1.1922974030353393,0.0009716318135005679,0.0,1.1932690348488397,0.5961487015176696,1754843639.1843052,3.280208242393279,0,0.003851298482330343
-0.01368,0.00559,1.1845547547769548,0.0010915359898998236,-0.0002631938952224106,1.1853830968716321,0.5922773773884774,1754843639.2045498,0.19908274766116327,0,0.007722622611522592
-0.00787,0.00586,1.172938640093299,0.0012107830998411594,-0.005294075464401849,1.1688553477287384,0.5864693200466495,1754843639.2248828,0.2854308713354477,0,0.013530679953350461
4e-05,0.00622,1.15711070063524,0.0013279975875096501,-0.005736825282775386,1.152701872939974,0.57855535031762,1754843639.2451427,0.3990110685830708,0,0.021444649682379986
0.00992,0.00676,1.1373231206903216,0.0014428198501440029,-0.008569383631342013,1.1301965569091235,0.5686615603451608,1754843639.2653344,0.5049160297456107,0,0.03133843965483923
0.00992,0.00676,1.1373231206903216,0.0015575417839622625,-0.008569383631342013,1.1303112788429417,0.5686615603451608,1754843639.2855084,0.5049160297456107,0,0.03133843965483923
0.00992,0.00676,1.1373231206903216,0.0016727246880166263,-0.008569383631342013,1.1304264617469961,0.5686615603451608,1754843639.3057635,0.5049160297456107,0,0.03133843965483923
0.00992,0.00676,1.1373231206903216,0.0017875699991627845,0.0,1.1391106906894843,0.5686615603451608,1754843639.3259592,0.5049160297456107,0,0.03133843965483923
0.00992,0.00676,1.1373231206903216,0.0019023380300046545,0.0,1.1392254587203263,0.5686615603451608,1754843639.3461413,0.5049160297456107,0,0.03133843965483923
0.00992,0.00676,1.1373231206903216,0.002017001664645995,0.0,1.1393401223549675,0.5686615603451608,1754843639.366305,0.5049160297456107,0,0.03133843965483923
0.00992,0.00676,1.1373231206903216,0.0021317195310798184,0.0,1.1394548402214013,0.5686615603451608,1754843639.3864784,0.5049160297456107,0,0.03133843965483923
0.00992,0.00676,1.1373231206903216,0.0022468115968817736,0.0,1.1395699322872033,0.5686615603451608,1754843639.4067175,0.5049160297456107,0,0.03133843965483923
0.00992,0.00676,1.1373231206903216,0.002362136859391405,0.0,1.139685257549713,0.5686615603451608,1754843639.4269977,0.5049160297456107,0,0.03133843965483923
0.16217,0.01395,0.832493058568957,0.0024465928552733626,0.0,0.8349396514242303,0.4162465292844785,1754843639.4472876,5.155800395594402,0,0.18375347071552148
0.18254,0.01554,0.7916430257727927,0.002527204736602794,0.0,0.7941702305093955,0.39582151288639633,1754843639.4676533,1.0487536118604184,0,0.20417848711360365
0.20297,0.01654,0.7507344442314767,0.002603487180391988,-0.030087354710328324,0.7232505767015404,0.37536722211573836,1754843639.4879754,1.0124767796188912,0,0.22463277788426161
0.22284,0.01686,0.7110138447767667,0.0026756123912820835,-0.030087354710328324,0.6836021024577205,0.35550692238838333,1754843639.5082633,0.9966952150882745,0,0.24449307761161665
0.24243,0.01741,0.6718269722903297,0.002743507006903546,-0.030087354710328324,0.6444831245869049,0.33591348614516486,1754843639.5284753,0.966703425407023,0,0.2640865138548351
0.24243,0.01741,0.6718269722903297,0.002811761217717153,-0.029367570423641198,0.6452711630844057,0.33591348614516486,1754843639.5487943,0.966703425407023,0,0.2640865138548351
0.24243,0.01741,0.6718269722903297,0.00287993293787421,-0.029081979832029318,0.6456249253961747,0.33591348614516486,1754843639.5690887,0.966703425407023,0,0.2640865138548351
0.24243,0.01741,0.6718269722903297,0.002947737054037516,0.0,0.6747747093443672,0.33591348614516486,1754843639.5892737,0.966703425407023,0,0.2640865138548351
0.24243,0.01741,0.6718269722903297,0.003015544373721465,0.0,0.6748425166640512,0.33591348614516486,1754843639.6094596,0.966703425407023,0,0.2640865138548351
0.24243,0.01741,0.6718269722903297,0.003083431781421481,0.0,0.6749104040717512,0.33591348614516486,1754843639.6296694,0.966703425407023,0,0.2640865138548351
0.24243,0.01741,0.6718269722903297,0.0031513055741587666,0.0,0.6749782778644885,0.33591348614516486,1754843639.6498752,0.966703425407023,0,0.2640865138548351
0.24243,0.01741,0.6718269722903297,0.0032198232745452365,0.0,0.675046795564875,0.33591348614516486,1754843639.6702726,0.966703425407023,0,0.2640865138548351
0.24243,0.01741,0.6718269722903297,0.0032881327460899303,0.0,0.6751151050364197,0.33591348614516486,1754843639.690608,0.966703425407023,0,0.2640865138548351
