timestamp,current_yaw,target_yaw,angle_error,p_term,i_term,d_term,pid_output
1754926375.235387,-1.23,178.77,180.0,900.0,0.0,299.57031845192745,1199.5703184519275
1754926375.2556856,-1.23,178.77,180.0,900.0,0.0,0.0,900.0
1754926375.2759821,-1.23,178.77,180.0,900.0,0.0,0.0,900.0
1754926375.296385,-1.23,178.77,180.0,900.0,0.0,0.0,900.0
1754926375.3166983,-0.34,178.77,179.11,895.5500000000001,0.0,-21.907383741402043,873.6426162585981
1754926375.3369937,-0.34,178.77,179.11,895.5500000000001,0.0,0.0,895.5500000000001
1754926375.3572044,6.12,178.77,172.65,863.25,0.0,-159.8612550444861,703.3887449555139
1754926375.3775034,6.12,178.77,172.65,863.25,0.0,0.0,863.25
1754926375.3977954,6.12,178.77,172.65,863.25,0.0,0.0,863.25
1754926375.4180982,12.33,178.77,166.44,832.2,0.0,-152.9491464273972,679.2508535726029
1754926375.4384353,12.33,178.77,166.44,832.2,0.0,0.0,832.2
1754926375.4587753,12.33,178.77,166.44,832.2,0.0,0.0,832.2
1754926375.4790907,18.15,178.77,160.62,803.1,0.0,-143.23094103150837,659.8690589684917
1754926375.4993722,18.15,178.77,160.62,803.1,0.0,0.0,803.1
1754926375.519642,24.77,178.77,154.0,770.0,0.0,-163.25046729851144,606.7495327014885
1754926375.539876,24.77,178.77,154.0,770.0,0.0,0.0,770.0
1754926375.5602186,24.77,178.77,154.0,770.0,0.0,0.0,770.0
1754926375.580729,31.56,178.77,147.21,736.0500000000001,0.0,-165.4851022685011,570.564897731499
1754926375.6010747,31.56,178.77,147.21,736.0500000000001,0.0,0.0,736.0500000000001
1754926375.6214554,38.51,178.77,140.26000000000002,701.3000000000001,0.0,-170.56001872330438,530.7399812766957
1754926375.6418478,38.51,178.77,140.26000000000002,701.3000000000001,0.0,0.0,701.3000000000001
1754926375.662168,38.51,178.77,140.26000000000002,701.3000000000001,0.0,0.0,701.3000000000001
1754926375.6824827,45.54,178.77,133.23000000000002,666.1500000000001,0.0,-173.02950014670503,493.1204998532951
1754926375.7027829,45.54,178.77,133.23000000000002,666.1500000000001,0.0,0.0,666.1500000000001
1754926375.723086,45.54,178.77,133.23000000000002,666.1500000000001,0.0,0.0,666.1500000000001
1754926375.74336,52.67,178.77,126.10000000000001,630.5,0.0,-175.804425005585,454.695574994415
1754926375.7635832,52.67,178.77,126.10000000000001,630.5,0.0,0.0,630.5
1754926375.7838438,59.89,178.77,118.88000000000001,594.4000000000001,0.0,-178.13665384298636,416.26334615701376
1754926375.8040087,59.89,178.77,118.88000000000001,594.4000000000001,0.0,0.0,594.4000000000001
1754926375.8243165,59.89,178.77,118.88000000000001,594.4000000000001,0.0,0.0,594.4000000000001
1754926375.844777,67.12,178.77,111.65,558.25,0.0,-176.68304601652363,381.56695398347637
1754926375.8651586,67.12,178.77,111.65,558.25,0.0,0.0,558.25
1754926375.885409,74.42,178.77,104.35000000000001,521.75,0.0,-180.19102411694772,341.5589758830523
1754926375.9056125,74.42,178.77,104.35000000000001,521.75,0.0,0.0,521.75
1754926375.925885,74.42,178.77,104.35000000000001,521.75,0.0,0.0,521.75
1754926375.9461212,81.86,178.77,96.91000000000001,484.55000000000007,0.0,-183.83932133094538,300.7106786690547
1754926375.9663632,81.86,178.77,96.91000000000001,484.55000000000007,0.0,0.0,484.55000000000007
1754926375.9866304,89.24,178.77,89.53000000000002,447.6500000000001,0.0,-182.00505385954173,265.6449461404584
1754926376.0068886,89.24,178.77,89.53000000000002,447.6500000000001,0.0,0.0,447.6500000000001
1754926376.0272446,89.24,178.77,89.53000000000002,447.6500000000001,0.0,0.0,447.6500000000001
1754926376.047544,96.63,178.77,82.14000000000001,410.70000000000005,0.0,-182.00767210804463,228.69232789195541
1754926376.0678616,96.63,178.77,82.14000000000001,410.70000000000005,0.0,0.0,410.70000000000005
1754926376.0882337,104.04,178.77,74.73,373.65000000000003,0.0,-181.8573957004602,191.79260429953985
1754926376.108611,104.04,178.77,74.73,373.65000000000003,0.0,0.0,373.65000000000003
1754926376.1289818,104.04,178.77,74.73,373.65000000000003,0.0,0.0,373.65000000000003
1754926376.1493814,111.48,178.77,67.29,336.45000000000005,0.0,-182.29925434343193,154.15074565656812
1754926376.169762,111.48,178.77,67.29,336.45000000000005,0.0,0.0,336.45000000000005
1754926376.1900308,118.94,178.77,59.83000000000001,299.1500000000001,0.0,-183.99315433557948,115.15684566442062
