timestamp,current_yaw,target_yaw,angle_error,p_term,i_term,d_term,pid_output
1754724661.495979,16.36,-73.64,-90.0,-450.0,-0.0,-149.82261202542347,-599.8226120254235
1754724661.5162327,16.37,-73.64,-90.01,-450.05,-0.0,-0.2468806065030811,-450.29688060650307
1754724661.5364833,16.37,-73.64,-90.01,-450.05,-0.0,0.0,-450.05
1754724661.5568044,16.37,-73.64,-90.01,-450.05,-0.0,0.0,-450.05
1754724661.5771537,15.25,-73.64,-88.89,-444.45,-0.0,27.51877778168324,-416.93122221831675
1754724661.5975344,15.25,-73.64,-88.89,-444.45,-0.0,0.0,-444.45
1754724661.6177864,15.25,-73.64,-88.89,-444.45,-0.0,0.0,-444.45
1754724661.6381023,10.11,-73.64,-83.75,-418.75,-0.0,126.48269595419133,-292.26730404580866
1754724661.6583579,10.11,-73.64,-83.75,-418.75,-0.0,0.0,-418.75
1754724661.678618,6.32,-73.64,-79.96000000000001,-399.80000000000007,-0.0,93.53141458477957,-306.2685854152205
1754724661.6988711,6.32,-73.64,-79.96000000000001,-399.80000000000007,-0.0,0.0,-399.80000000000007
1754724661.7191222,6.32,-73.64,-79.96000000000001,-399.80000000000007,-0.0,0.0,-399.80000000000007
1754724661.7395399,2.4,-73.64,-76.04,-380.20000000000005,-0.0,95.97837600551065,-284.2216239944894
1754724661.759825,2.4,-73.64,-76.04,-380.20000000000005,-0.0,0.0,-380.20000000000005
1754724661.780098,-2.03,-73.64,-71.61,-358.05,-0.0,109.25107141597204,-248.79892858402798
1754724661.8003485,-2.03,-73.64,-71.61,-358.05,-0.0,0.0,-358.05
1754724661.8205945,-2.03,-73.64,-71.61,-358.05,-0.0,0.0,-358.05
1754724661.8408566,-6.5,-73.64,-67.14,-335.7,-0.0,110.3231624907321,-225.3768375092679
1754724661.861219,-6.5,-73.64,-67.14,-335.7,-0.0,0.0,-335.7
1754724661.8816044,-6.5,-73.64,-67.14,-335.7,-0.0,0.0,-335.7
1754724661.9019685,-11.07,-73.64,-62.57,-312.85,-0.0,112.1773566178192,-200.6726433821808
1754724661.9223154,-11.07,-73.64,-62.57,-312.85,-0.0,0.0,-312.85
1754724661.9426064,-11.07,-73.64,-62.57,-312.85,-0.0,0.0,-312.85
1754724661.9628518,-15.78,-73.64,-57.86,-289.3,-0.0,116.30267184740377,-172.99732815259625
1754724661.9831223,-15.78,-73.64,-57.86,-289.3,-0.0,0.0,-289.3
1754724662.003602,-20.56,-73.64,-53.08,-265.4,-0.0,116.68882116707606,-148.7111788329239
1754724662.02389,-20.56,-73.64,-53.08,-265.4,-0.0,0.0,-265.4
1754724662.0441906,-20.56,-73.64,-53.08,-265.4,-0.0,0.0,-265.4
1754724662.0644832,-25.33,-73.64,-48.31,-241.55,-0.0,117.5378935000234,-124.01210649997661
1754724662.0847747,-25.33,-73.64,-48.31,-241.55,-0.0,0.0,-241.55
1754724662.1050482,-25.33,-73.64,-48.31,-241.55,-0.0,0.0,-241.55
1754724662.1253452,-30.29,-73.64,-43.35,-216.75,-0.0,122.2039018315535,-94.5460981684465
1754724662.145705,-30.29,-73.64,-43.35,-216.75,-0.0,0.0,-216.75
1754724662.1660147,-35.14,-73.64,-38.5,-192.5,-0.0,119.37592807764989,-73.12407192235011
1754724662.1863225,-35.14,-73.64,-38.5,-192.5,-0.0,0.0,-192.5
1754724662.2066119,-35.14,-73.64,-38.5,-192.5,-0.0,0.0,-192.5
1754724662.2268941,-40.01,-73.64,-33.63,-168.15,-0.0,120.07254155987673,-48.07745844012328
1754724662.2471952,-40.01,-73.64,-33.63,-168.15,-0.0,0.0,-168.15
1754724662.267527,-44.83,-73.64,-28.810000000000002,-144.05,-0.0,118.51372508558833,-25.536274914411678
1754724662.2878315,-44.83,-73.64,-28.810000000000002,-144.05,-0.0,0.0,-144.05
1754724662.308129,-44.83,-73.64,-28.810000000000002,-144.05,-0.0,0.0,-144.05
1754724662.3284545,-49.32,-73.64,-24.32,-121.6,-0.0,110.45021852603432,-11.149781473965675
1754724662.3487773,-49.32,-73.64,-24.32,-121.6,-0.0,0.0,-121.6
1754724662.3690858,-53.11,-73.64,-20.53,-102.65,-0.0,93.29975443127125,-9.350245568728752
1754724662.3893783,-53.11,-73.64,-20.53,-102.65,-0.0,0.0,-102.65
1754724662.4096794,-53.11,-73.64,-20.53,-102.65,-0.0,0.0,-102.65
1754724662.4299839,-57.29,-73.64,-16.35,-81.75,-0.0,102.90656054469683,21.15656054469683
1754724662.4502928,-57.29,-73.64,-16.35,-81.75,-0.0,0.0,-81.75
1754724662.4705844,-61.23,-73.64,-12.410000000000004,-62.05000000000002,-0.0,97.09037037037031,35.04037037037029
1754724662.4908922,-61.23,-73.64,-12.410000000000004,-62.05000000000002,-0.0,0.0,-62.05000000000002
1754724662.5112612,-61.23,-73.64,-12.410000000000004,-62.05000000000002,-0.0,0.0,-62.05000000000002
1754724662.5315874,-65.31,-73.64,-8.329999999999998,-41.64999999999999,-0.0,100.34808495666566,58.69808495666567
1754724662.5518742,-65.31,-73.64,-8.329999999999998,-41.64999999999999,-0.0,0.0,-41.64999999999999
1754724662.5721648,-68.97,-73.64,-4.670000000000002,-23.35000000000001,-0.0,90.19584624966207,66.84584624966206
1754724662.5924535,-68.97,-73.64,-4.670000000000002,-23.35000000000001,-0.0,0.0,-23.35000000000001
1754724662.6127355,-68.97,-73.64,-4.670000000000002,-23.35000000000001,-0.0,0.0,-23.35000000000001
1754724662.6330266,-72.16,-73.64,-1.480000000000004,-7.40000000000002,-0.0,78.60408276445494,71.20408276445492
1754724662.653308,-72.16,-73.64,-1.480000000000004,-7.40000000000002,-0.0,0.0,-7.40000000000002
1754724662.6740005,-74.23,-73.64,0.5900000000000034,2.950000000000017,-0.0,50.027711526494286,52.9777115264943
1754724662.6944115,-74.23,-73.64,0.5900000000000034,2.950000000000017,-0.0,0.0,2.950000000000017
1754724662.7147176,-75.14,-73.64,1.5,7.5,-0.0,22.402839903270408,29.902839903270408
1754724662.735028,-75.14,-73.64,1.5,7.5,-0.0,0.0,7.5
1754724662.7554507,-75.82,-73.64,2.1799999999999926,10.899999999999963,-0.0,16.648338275467378,27.54833827546734
1754724662.7758162,-75.82,-73.64,2.1799999999999926,10.899999999999963,-0.0,0.0,10.899999999999963
1754724662.7960765,-75.82,-73.64,2.1799999999999926,10.899999999999963,-0.0,0.0,10.899999999999963
1754724662.816349,-75.56,-73.64,1.9200000000000017,9.600000000000009,-0.0,-6.412177573939918,3.187822426060091
1754724662.8365874,-75.56,-73.64,1.9200000000000017,9.600000000000009,-0.0,0.0,9.600000000000009
1754724662.8568327,-75.4,-73.64,1.7600000000000051,8.800000000000026,-0.0,-3.951671377425957,4.848328622574069
1754724662.8770897,-75.4,-73.64,1.7600000000000051,8.800000000000026,-0.0,0.0,8.800000000000026
1754724662.8973584,-75.4,-73.64,1.7600000000000051,8.800000000000026,-0.0,0.0,8.800000000000026
1754724662.9177449,-75.32,-73.64,1.6799999999999926,8.399999999999963,-0.0,-1.9616968336376481,6.438303166362315
1754724662.938011,-75.32,-73.64,1.6799999999999926,8.399999999999963,-0.0,0.0,8.399999999999963
1754724662.958383,-75.27,-73.64,1.6299999999999955,8.149999999999977,-0.0,-1.226921276794838,6.923078723205139
1754724662.9786558,-75.27,-73.64,1.6299999999999955,8.149999999999977,-0.0,0.0,8.149999999999977
1754724662.9989161,-75.27,-73.64,1.6299999999999955,8.149999999999977,-0.0,0.0,8.149999999999977
1754724663.019162,-75.17,-73.64,1.5300000000000011,7.650000000000006,-0.0,-2.4698527853019443,5.180147214698062
1754724663.0394468,-75.17,-73.64,1.5300000000000011,7.650000000000006,-0.0,0.0,7.650000000000006
1754724663.0596979,-75.08,-73.64,1.4399999999999977,7.199999999999989,-0.0,-2.2220824111138113,4.977917588886177
1754724663.0799475,-75.08,-73.64,1.4399999999999977,7.199999999999989,-0.0,0.0,7.199999999999989
1754724663.100192,-75.08,-73.64,1.4399999999999977,7.199999999999989,-0.0,0.0,7.199999999999989
1754724663.1204395,-74.93,-73.64,1.2900000000000063,6.450000000000031,-0.0,-3.7044737802793564,2.745526219720675
1754724663.140721,-74.93,-73.64,1.2900000000000063,6.450000000000031,-0.0,0.0,6.450000000000031
1754724663.1610363,-74.77,-73.64,1.1299999999999955,5.649999999999977,-0.0,-3.9376203720005005,1.7123796279994767
1754724663.1814198,-74.77,-73.64,1.1299999999999955,5.649999999999977,-0.0,0.0,5.649999999999977
1754724663.2017012,-74.77,-73.64,1.1299999999999955,5.649999999999977,-0.0,0.0,5.649999999999977
1754724663.2221193,-74.59,-73.64,0.9500000000000028,4.750000000000014,-0.0,-4.4071188736075895,0.34288112639242474
1754724663.2424443,-74.59,-73.64,0.9500000000000028,4.750000000000014,-0.0,0.0,4.750000000000014
1754724663.2628286,-74.44,-73.64,0.7999999999999972,3.999999999999986,-0.0,-3.6788267901625784,0.3211732098374074
1754724663.2832484,-74.44,-73.64,0.7999999999999972,3.999999999999986,-0.0,0.0,3.999999999999986
1754724663.3035424,-74.44,-73.64,0.7999999999999972,3.999999999999986,-0.0,0.0,3.999999999999986
1754724663.3237944,-74.27,-73.64,0.6299999999999955,3.1499999999999773,-0.0,-4.197612706486331,-1.0476127064863539
1754724663.3441398,-74.27,-73.64,0.6299999999999955,3.1499999999999773,-0.0,0.0,3.1499999999999773
1754724663.3644297,-74.27,-73.64,0.6299999999999955,3.1499999999999773,-0.0,0.0,3.1499999999999773
1754724663.3847163,-74.14,-73.64,0.5,2.5,-0.0,-3.204129420475401,-0.7041294204754012
1754724663.4050071,-74.14,-73.64,0.5,2.5,-0.0,0.0,2.5
1754724663.4253323,-74.09,-73.64,0.45000000000000284,2.250000000000014,-0.0,-1.2297559430963214,1.0202440569036928
1754724663.4456155,-74.09,-73.64,0.45000000000000284,2.250000000000014,-0.0,0.0,2.250000000000014
1754724663.4658954,-74.09,-73.64,0.45000000000000284,2.250000000000014,-0.0,0.0,2.250000000000014
1754724663.4862373,-73.98,-73.64,0.3400000000000034,1.700000000000017,-0.0,-2.7041310998839374,-1.0041310998839204
1754724663.5066092,-73.98,-73.64,0.3400000000000034,1.700000000000017,-0.0,0.0,1.700000000000017
1754724663.5269346,-73.83,-73.64,0.18999999999999773,0.9499999999999886,-0.0,-3.690176665180911,-2.7401766651809223
1754724663.5472403,-73.83,-73.64,0.18999999999999773,0.9499999999999886,-0.0,0.0,0.9499999999999886
1754724663.5675595,-73.83,-73.64,0.18999999999999773,0.9499999999999886,-0.0,0.0,0.9499999999999886
1754724663.5878093,-73.76,-73.64,0.12000000000000455,0.6000000000000227,-0.0,-1.7284694634466296,-1.1284694634466068
1754724663.6080592,-73.76,-73.64,0.12000000000000455,0.6000000000000227,-0.0,0.0,0.6000000000000227
1754724663.6283226,-73.74,-73.64,0.09999999999999432,0.4999999999999716,-0.0,-0.49362755828621563,0.00637244171375595
1754724663.648688,-73.74,-73.64,0.09999999999999432,0.4999999999999716,-0.0,0.0,0.4999999999999716
1754724663.6689818,-73.74,-73.64,0.09999999999999432,0.4999999999999716,-0.0,0.0,0.4999999999999716
1754724663.6892905,-73.73,-73.64,0.09000000000000341,0.45000000000001705,-0.0,-0.246182163944979,0.20381783605503806
1754724663.7095942,-73.73,-73.64,0.09000000000000341,0.45000000000001705,-0.0,0.0,0.45000000000001705
1754724664.510848,-73.68,16.319999999999993,90.0,450.0,0.0,149.82463382030286,599.8246338203029
1754724664.5310879,-73.68,16.319999999999993,90.0,450.0,0.0,0.0,450.0
1754724664.5514257,-73.68,16.319999999999993,90.0,450.0,0.0,0.0,450.0
1754724664.5717237,-73.68,16.319999999999993,90.0,450.0,0.0,0.0,450.0
1754724664.5920627,-73.68,16.319999999999993,90.0,450.0,0.0,0.0,450.0
1754724664.6124647,-73.68,16.319999999999993,90.0,450.0,0.0,0.0,450.0
1754724664.6328034,-73.16,16.319999999999993,89.47999999999999,447.4,0.0,-12.781966548284885,434.61803345171506
